area,population_density,statistic_yyy,site_id,people_total
78.3805,224,108,苗栗縣銅鑼鄉,17588
165.4938,59,108,苗栗縣南庄鄉,9813
52.5046,199,108,苗栗縣頭屋鄉,10455
69.3424,230,108,苗栗縣三義鄉,15970
41.0758,167,108,苗栗縣西湖鄉,6877
47.9978,260,108,苗栗縣造橋鄉,12473
52.2964,125,108,苗栗縣三灣鄉,6532
79.4324,53,108,苗栗縣獅潭鄉,4231
614.5127,10,108,苗栗縣泰安鄉,5888
65.6947,3535,108,彰化縣彰化市,232259
40.038,3122,108,彰化縣員林市,125008
39.4625,2203,108,彰化縣鹿港鎮,86931
39.9345,2267,108,彰化縣和美鎮,90530
19.2547,1732,108,彰化縣北斗鎮,33348
32.0592,1721,108,彰化縣溪湖鎮,55185
34.6056,1192,108,彰化縣田中鎮,41244
92.8478,539,108,彰化縣二林鎮,50075
18.0856,925,108,彰化縣線西鄉,16733
22.3268,1677,108,彰化縣伸港鄉,37449
49.8934,937,108,彰化縣福興鄉,46748
29.3447,1331,108,彰化縣秀水鄉,39068
36.3469,1254,108,彰化縣花壇鄉,45566
38.0204,615,108,彰化縣芬園鄉,23383
30.7837,1206,108,彰化縣大村鄉,37124
38.6081,834,108,彰化縣埔鹽鄉,32183
20.9526,1658,108,彰化縣埔心鄉,34734
20.6382,1776,108,彰化縣永靖鄉,36651
36.1449,1178,108,彰化縣社頭鄉,42573
29.4449,504,108,彰化縣二水鄉,14843
24.0375,1123,108,彰化縣田尾鄉,26993
42.7508,711,108,彰化縣埤頭鄉,30394
91.3827,362,108,彰化縣芳苑鄉,33084
63.7406,257,108,彰化縣大城鄉,16359
42.1662,354,108,彰化縣竹塘鄉,14926
75.831,388,108,彰化縣溪州鄉,29411
71.6021,1385,108,南投縣南投市,99199
162.2227,492,108,南投縣埔里鎮,79789
104.0327,938,108,南投縣草屯鎮,97608
247.3339,218,108,南投縣竹山鎮,53932
49.7268,213,108,南投縣集集鎮,10615
83.0955,457,108,南投縣名間鄉,37951
141.8981,123,108,南投縣鹿谷鄉,17509
146.6541,99,108,南投縣中寮鄉,14495
121.3735,129,108,南投縣魚池鄉,15611
175.7042,104,108,南投縣國姓鄉,18245
106.8424,161,108,南投縣水里鄉,17247
1422.4188,11,108,南投縣信義鄉,16006
1273.5312,12,108,南投縣仁愛鄉,15905
93.7151,1159,108,雲林縣斗六市,108606
48.1505,920,108,雲林縣斗南鎮,44296
68.742,1033,108,雲林縣虎尾鎮,70994
49.7985,918,108,雲林縣西螺鎮,45723
49.0212,582,108,雲林縣土庫鎮,28544
41.4999,949,108,雲林縣北港鎮,39397
166.6059,187,108,雲林縣古坑鄉,31202
