statistic_yyy,site_id,people_total
108,苗栗縣三灣鄉,6532
108,苗栗縣獅潭鄉,4231
108,苗栗縣泰安鄉,5888
108,彰化縣彰化市,232259
108,彰化縣員林市,125008
108,彰化縣鹿港鎮,86931
108,彰化縣和美鎮,90530
108,彰化縣北斗鎮,33348
108,彰化縣溪湖鎮,55185
108,彰化縣田中鎮,41244
108,彰化縣二林鎮,50075
108,彰化縣線西鄉,16733
108,彰化縣伸港鄉,37449
108,彰化縣福興鄉,46748
108,彰化縣秀水鄉,39068
108,彰化縣花壇鄉,45566
108,彰化縣芬園鄉,23383
108,彰化縣大村鄉,37124
108,彰化縣埔鹽鄉,32183
108,彰化縣埔心鄉,34734
108,彰化縣永靖鄉,36651
108,彰化縣社頭鄉,42573
108,彰化縣二水鄉,14843
108,彰化縣田尾鄉,26993
108,彰化縣埤頭鄉,30394
108,彰化縣芳苑鄉,33084
108,彰化縣大城鄉,16359
108,彰化縣竹塘鄉,14926
108,彰化縣溪州鄉,29411
108,南投縣南投市,99199
108,南投縣埔里鎮,79789
108,南投縣草屯鎮,97608
108,南投縣竹山鎮,53932
108,南投縣集集鎮,10615
108,南投縣名間鄉,37951
108,南投縣鹿谷鄉,17509
108,南投縣中寮鄉,14495
108,南投縣魚池鄉,15611
108,南投縣國姓鄉,18245
108,南投縣水里鄉,17247
108,南投縣信義鄉,16006
108,南投縣仁愛鄉,15905
108,雲林縣斗六市,108606
108,雲林縣斗南鎮,44296
108,雲林縣虎尾鎮,70994
108,雲林縣西螺鎮,45723
108,雲林縣土庫鎮,28544
108,雲林縣北港鎮,39397
108,雲林縣古坑鄉,31202
108,雲林縣大埤鄉,18801
108,雲林縣莿桐鄉,28524
108,雲林縣林內鄉,17776
108,雲林縣二崙鄉,26371
108,雲林縣崙背鄉,24025
108,雲林縣麥寮鄉,47196
108,雲林縣東勢鄉,14416
108,雲林縣褒忠鄉,12682
108,雲林縣臺西鄉,23312
108,雲林縣元長鄉,25118
108,雲林縣四湖鄉,22749
108,雲林縣口湖鄉,26830
108,雲林縣水林鄉,24744
108,嘉義縣太保市,38301
108,嘉義縣朴子市,41855
108,嘉義縣布袋鎮,26381
108,嘉義縣大林鎮,30684
108,嘉義縣民雄鄉,71362
108,嘉義縣溪口鄉,14283
108,嘉義縣新港鄉,31420
108,嘉義縣六腳鄉,22540
108,嘉義縣東石鄉,24194
108,嘉義縣義竹鄉,17883
108,嘉義縣鹿草鄉,15118
108,嘉義縣水上鄉,49195
108,嘉義縣中埔鄉,44325
108,嘉義縣竹崎鄉,35207
108,嘉義縣梅山鄉,18963
108,嘉義縣番路鄉,11262
108,嘉義縣大埔鄉,4596
108,嘉義縣阿里山鄉,5544
108,屏東縣屏東市,198990
108,屏東縣潮州鎮,53831
108,屏東縣東港鎮,47161
108,屏東縣恆春鎮,30662
108,屏東縣萬丹鄉,50427
108,屏東縣長治鄉,29536
108,屏東縣麟洛鄉,10906
108,屏東縣九如鄉,21989
108,屏東縣里港鄉,25853
108,屏東縣鹽埔鄉,25332
108,屏東縣高樹鄉,24006
108,屏東縣萬巒鄉,20473
108,屏東縣內埔鄉,53583
108,屏東縣竹田鄉,16863
108,屏東縣新埤鄉,9737
108,屏東縣枋寮鄉,24023
108,屏東縣新園鄉,34468
108,屏東縣崁頂鄉,15419
108,屏東縣林邊鄉,17583
108,屏東縣南州鄉,10513
108,屏東縣佳冬鄉,18846
108,屏東縣琉球鄉,12232
108,屏東縣車城鄉,8403
108,屏東縣滿州鄉,7686
108,屏東縣枋山鄉,5349
108,屏東縣三地門鄉,7673
108,屏東縣霧臺鄉,3295
108,屏東縣瑪家鄉,6787
108,屏東縣泰武鄉,5408
108,屏東縣來義鄉,7427
108,屏東縣春日鄉,4944
108,屏東縣獅子鄉,4912
108,屏東縣牡丹鄉,4867
108,臺東縣臺東市,105202
108,臺東縣成功鎮,13748
108,臺東縣關山鎮,8575
108,臺東縣卑南鄉,17132
108,臺東縣大武鄉,5851
108,臺東縣太麻里鄉,10984
108,臺東縣東河鄉,8349
108,臺東縣長濱鄉,7021
108,臺東縣鹿野鄉,7744
108,臺東縣池上鄉,8141
108,臺東縣綠島鄉,4045
108,臺東縣延平鄉,3540
108,臺東縣海端鄉,4120
108,臺東縣達仁鄉,3499
108,臺東縣金峰鄉,3703
108,臺東縣蘭嶼鄉,5127
108,花蓮縣花蓮市,103404
108,花蓮縣鳳林鎮,10802
108,花蓮縣玉里鎮,23648
108,花蓮縣新城鄉,20083
108,花蓮縣吉安鄉,83583
108,花蓮縣壽豐鄉,17820
108,花蓮縣光復鄉,12536
108,花蓮縣豐濱鄉,4476
108,花蓮縣瑞穗鄉,11433
108,花蓮縣富里鄉,10161
108,花蓮縣秀林鄉,15953
108,花蓮縣萬榮鄉,6313
108,花蓮縣卓溪鄉,6035
108,澎湖縣馬公市,62999
108,澎湖縣湖西鄉,14997
108,澎湖縣白沙鄉,9833
108,澎湖縣西嶼鄉,8306
108,澎湖縣望安鄉,5273
108,澎湖縣七美鄉,3799
108,基隆市中正區,51483
108,基隆市七堵區,53732
108,基隆市暖暖區,38535
108,基隆市仁愛區,43201
108,基隆市中山區,46897
108,基隆市安樂區,82267
108,基隆市信義區,52778
108,新竹市東區,217841
108,新竹市北區,152351
108,新竹市香山區,78611
108,嘉義市東區,120825
108,嘉義市西區,146865
108,金門縣金城鎮,43253
108,金門縣金湖鎮,30171
108,金門縣金沙鎮,20802
108,金門縣金寧鄉,32531
108,金門縣烈嶼鄉,12749
108,金門縣烏坵鄉,679
108,連江縣南竿鄉,7599
108,連江縣北竿鄉,2595
108,連江縣莒光鄉,1543
108,連江縣東引鄉,1352
109,新北市板橋區,557114
109,新北市三重區,385328
109,新北市中和區,411214
109,新北市永和區,219364
109,新北市新莊區,422653
109,新北市新店區,303532
109,新北市樹林區,183470
109,新北市鶯歌區,87674
109,新北市三峽區,116917
109,新北市淡水區,183278
109,新北市汐止區,205847
109,新北市瑞芳區,39077
109,新北市土城區,238277
109,新北市蘆洲區,202456
109,新北市五股區,89470
109,新北市泰山區,78412
109,新北市林口區,121192
109,新北市深坑區,23723
109,新北市石碇區,7565
109,新北市坪林區,6703
109,新北市三芝區,22540
109,新北市石門區,11480
109,新北市八里區,39741
109,新北市平溪區,4424
109,新北市雙溪區,8468
109,新北市貢寮區,11782
109,新北市金山區,21127
109,新北市萬里區,21710
109,新北市烏來區,6416
109,臺北市松山區,200316
109,臺北市信義區,215240
109,臺北市大安區,302644
109,臺北市中山區,223876
109,臺北市中正區,155397
109,臺北市大同區,123849
109,臺北市萬華區,183088
109,臺北市文山區,268130
109,臺北市南港區,118758
109,臺北市內湖區,282525
109,臺北市士林區,278451
109,臺北市北投區,250144
109,桃園市桃園區,457245
109,桃園市中壢區,422471
109,桃園市大溪區,95664
109,桃園市楊梅區,175142
109,桃園市蘆竹區,167060
109,桃園市大園區,93887
109,桃園市龜山區,164398
109,桃園市八德區,209202
109,桃園市龍潭區,124408
109,桃園市平鎮區,228611
109,桃園市新屋區,49333
109,桃園市觀音區,69032
109,桃園市復興區,12354
109,臺中市中區,18168
109,臺中市東區,75913
109,臺中市南區,126769
109,臺中市西區,114583
109,臺中市北區,146590
109,臺中市西屯區,231730
109,臺中市南屯區,176062
109,臺中市北屯區,287344
109,臺中市豐原區,166053
109,臺中市東勢區,49169
109,臺中市大甲區,76130
109,臺中市清水區,88009
109,臺中市沙鹿區,95226
109,臺中市梧棲區,59273
109,臺中市后里區,54343
109,臺中市神岡區,65529
109,臺中市潭子區,109309
109,臺中市大雅區,95693
109,臺中市新社區,24064
109,臺中市石岡區,14670
109,臺中市外埔區,31940
109,臺中市大安區,18864
109,臺中市烏日區,76494
109,臺中市大肚區,56777
109,臺中市龍井區,78095
109,臺中市霧峰區,65094
109,臺中市太平區,194970
109,臺中市大里區,213117
109,臺中市和平區,10809
109,臺南市新營區,76331
109,臺南市鹽水區,25001
109,臺南市白河區,27245
109,臺南市柳營區,20826
109,臺南市後壁區,22755
109,臺南市東山區,20152
